SYMBOL,YEAR,MIN,MAX,MEAN,STD_DEV
ALPHAGEO,2012,40,75,54.2971,8.265003415
ALPHAGEO,2014,66,625,404.4247,122.3228289
ALPINEHOU,2011,16,16,16,0
ALPINEHOU,2012,7,24,15.9297,4.576064756
ALPINEHOU,2014,24,26,25,0.707106781
ALPSINDUS,2010,7,15,10.243,1.763028112
ALPSINDUS,2011,2,8,3.7403,1.268014066
ALPSINDUS,2012,2,3,2.0526,0.223296878
ALPSINDUS,2014,1,3,1.8333,0.428174419
ALSTOMT&D,2012,140,216,186.035,16.57630161
ALSTOMT&D,2014,173,489,301.4437,80.21744433
AMAR,2010,54,165,86.6454,30.32726163
AMAR,2011,82,132,105.7045,12.0467082
AMAR,2012,30,162,102.9717,50.2169706
AMARAJABAT,2010,148,223,180.6534,18.40024734
AMARAJABAT,2011,160,257,204.6316,23.11119694
AMARAJABAT,2012,203,425,280.7733,48.52551829
AMARAJABAT,2014,319,770,494.1972,130.91408
AMARJOTHI,2010,40,78,55.3441,8.835828102
AMARJOTHI,2011,45,65,55.9701,4.929759013
AMARJOTHI,2012,34,57,44.5577,5.102463438
AMARJOTHI,2014,65,94,77.5448,6.751026093
AMBICAAGAR,2010,12,16,13.0887,0.861470019
AMBIKCO,2010,119,275,191.6335,43.28384399
AMBIKCO,2011,142,226,189.5061,18.57600002
AMBIKCO,2012,143,210,173.9061,18.03611353
AMBIKCO,2014,274,555,393.2302,92.37328996
AMBUJACEM,2010,100,165,123.0757,15.26284473
AMBUJACEM,2011,116,163,139.1053,12.1770447
AMBUJACEM,2012,138,218,177.7126,21.60883302
AMBUJACEM,2014,151,237,205.1197,23.24986215
AMDIND,2010,22,39,25.8287,2.497515472
AMDIND,2011,13,24,17.9595,2.205619563
AMDIND,2012,14,17,15.4251,0.680451066
AMDIND,2014,12,33,19.7934,6.291693797
AMLSTEEL,2010,10,63,43.2118,9.665699351
AMLSTEEL,2011,12,37,18.0097,5.0913884
AMLSTEEL,2012,7,18,10.0826,2.43117535
AMLSTEEL,2014,4,10,5.3333,1.816354949
AMRUTANJAN,2010,457,1225,723.2869,122.6219752
AMRUTANJAN,2011,560,946,716.664,75.58096469
AMRUTANJAN,2012,149,876,660.4858,240.2707119
AMRUTANJAN,2014,123,509,211.2465,105.7413924
AMTEKAUTO,2010,118,197,170.5458,17.32743295
AMTEKAUTO,2011,93,172,138.0688,21.83354678
AMTEKAUTO,2012,69,144,103.1781,21.31583984
AMTEKAUTO,2014,63,265,180.007,63.58663786
AMTEKINDIA,2010,50,75,64.6853,4.313480887
AMTEKINDIA,2011,68,148,96.7935,21.66794584
AMTEKINDIA,2012,83,118,100.004,5.35500672
AMTEKINDIA,2014,56,131,83.584,18.23104342
AMTL,2012,17,22,18.8254,1.106111199
AMTL,2014,13,22,15.6967,2.064093276
ANANTRAJ,2010,101,154,127.5737,12.89080503
ANANTRAJ,2011,36,110,71.2267,17.84246216
ANANTRAJ,2012,40,101,62.7773,16.86559791
ANANTRAJ,2014,44,82,58.6408,8.063429485
ANDHRABANK,2010,95,187,137.9084,25.31529406
ANDHRABANK,2011,79,157,129.085,16.90928578
ANDHRABANK,2012,81,136,110.1498,10.92289085
ANDHRABANK,2014,54,108,75.5775,14.78213803
ANDHRACEMT,2010,12,23,16.7632,3.038647644
ANDHRACEMT,2011,9,16,12.2209,1.806683366
ANDHRACEMT,2012,8,11,9.0814,0.742640109
ANDHRACEMT,2014,5,13,8.2632,2.332815063
ANDHRSUGAR,2010,103,144,124.761,7.369490614
ANDHRSUGAR,2011,86,124,101.8502,8.795346923
ANDHRSUGAR,2012,106,158,138.9352,9.841859614
ANDHRSUGAR,2014,87,153,122.7042,19.8323213
ANGAUTO,2010,39,57,45.8559,4.384343247
ANGIND,2010,47,74,62.4571,8.084704632
ANGIND,2011,15,52,26.8725,9.040401224
ANGIND,2012,11,24,15.3988,2.977502303
ANGIND,2014,17,44,29.7174,7.106833954
ANIKINDS,2010,41,83,60.0956,7.023496473
ANIKINDS,2011,24,58,38.7439,6.338316136
ANIKINDS,2012,25,38,31.6098,3.195866605
ANKITMETAL,2014,4,12,7.7305,1.645451209
ANKURDRUGS,2010,80,234,165.4861,39.95000367
ANKURDRUGS,2011,16,106,47.9745,20.25159007
ANKURDRUGS,2012,11,23,15.4463,3.185188278
ANSALAPI,2010,55,96,81.362,10.59333167
ANSALAPI,2011,23,61,37.6113,7.349209729
ANSALAPI,2012,23,40,30.7166,4.216874691
ANSALAPI,2014,18,42,28.3768,7.374262821
ANSALHSG,2010,53,77,62.6773,5.053837861
ANSALHSG,2011,29,59,41.9595,5.464495318
ANSALHSG,2012,32,56,45.6194,4.226495721
ANSALHSG,2014,15,34,25.2465,6.011944238
ANSALINFRA,2010,66,91,75.6591,5.933124203
ANTGRAPHIC,2010,0,1,0.1673,0.373270842
ANTGRAPHIC,2011,0,0,0,0
ANTGRAPHIC,2012,0,1,0.039,0.193502135
ANTGRAPHIC,2014,0,0,0,0
APARINDS,2010,163,246,214.0916,22.73517138
APARINDS,2011,103,238,187.5263,36.49155961
APARINDS,2012,112,183,144.7854,14.22201457
APARINDS,2014,112,451,258.4155,114.7330179
APCOTEXIND,2010,89,192,135.704,19.70219237
APCOTEXIND,2011,126,189,157.4041,17.06302793
APCOTEXIND,2012,131,287,172.0688,37.55728849
APCOTEXIND,2014,104,495,230.7465,127.6136575
APIL,2010,516,858,659.0757,86.72637655
APIL,2011,290,731,535.5182,79.51018237
APIL,2012,299,424,367.145,23.47651812
APLAB,2010,33,48,40.8016,3.034248531
APLAB,2011,24,43,32.0539,4.533649949
APLAB,2012,21,29,24.5217,1.334966706
APLAPOLLO,2011,132,146,137.3846,3.773153375
APLAPOLLO,2012,132,199,165.1265,15.36110614
APLAPOLLO,2014,138,369,259.5915,75.08119126
APLLTD,2011,35,48,41.4068,3.003493131
APLLTD,2012,35,78,57.004,11.1647573
APLLTD,2014,210,462,320.493,76.72355226
APOLLOHOSP,2010,410,828,652.6853,130.1253783
APOLLOHOSP,2011,453,669,505.004,40.78009536
APOLLOHOSP,2012,553,878,667.6842,80.88491771
APOLLOHOSP,2014,855,1203,1015.2746,103.1902485
APOLLOTYRE,2010,51,87,68.251,8.532848936
APOLLOTYRE,2011,46,81,64.0526,7.805405526
APOLLOTYRE,2012,58,100,82.8502,7.642693182
APOLLOTYRE,2014,103,241,176.6056,40.22751454
APPAPER,2010,75,235,131.4582,42.86643347
APPAPER,2011,129,398,262.2794,101.8554132
APPAPER,2012,126,352,256.0121,65.10679373
APPAPER,2014,254,282,266.6154,6.439522934
APTECHT,2010,116,204,155.1394,19.30589567
APTECHT,2011,66,141,107.9352,15.84987306
APTECHT,2012,66,97,73.9726,7.185676905
APTECHT,2014,65,107,82.4085,9.647414402
AQUA,2010,34,658,332.576,210.4718968
AQUA,2011,9,43,17.2429,6.007898007
AQUA,2012,8,15,11.1174,1.709221408
ARCHIDPLY,2010,24,41,32.49,3.011746657
ARCHIDPLY,2011,10,27,16.3,3.737364678
ARCHIDPLY,2012,8,13,9.575,1.036520622
ARCHIDPLY,2014,7,48,24.2222,11.05318232
ARCHIES,2010,36,195,105.2908,40.27197225
ARCHIES,2011,24,47,38.7368,4.539478085
ARCHIES,2012,21,31,25.2591,2.473680897
ARCHIES,2014,16,35,21.7113,5.042887874
ARCOTECH,2014,175,399,328.701,53.69543069
AREVAT&D,2010,235,332,289.4622,17.19936884
AREVAT&D,2011,134,344,244.0891,39.21641607
AREVAT&D,2012,162,200,180.9574,10.17706526
ARIES,2010,83,194,138.9269,27.09671761
ARIES,2011,65,137,102.5749,16.11300734
ARIES,2012,50,94,67.587,10.17496303
ARIES,2014,44,136,77.8099,22.98098819
ARIHANT,2010,82,187,122.1626,19.07047281
ARIHANT,2011,45,97,64.5108,10.64189289
ARIHANT,2012,34,55,46.0492,4.34606623
ARIHANT,2014,35,71,51.6429,11.17356879
ARL,2010,2,2,2,0
ARL,2011,2,3,2.0324,0.177030049
ARL,2012,2,2,2,0
AROGRANITE,2010,42,69,50.2932,5.459451991
AROGRANITE,2011,32,53,40.5983,3.780426035
AROGRANITE,2012,30,40,34.5411,2.20718946
AROGRANITE,2014,23,92,47.8394,22.12777545
ARROWTEX,2010,8,21,10.3596,3.177332607
ARROWTEX,2011,5,15,9.6716,1.664206662
ARROWTEX,2012,5,8,6.7376,0.558879977
ARROWTEX,2014,5,21,9.5303,3.922428503
ARSHIYA,2010,174,350,239.5179,45.88373794
ARSHIYA,2011,120,273,169.7895,34.73608145
ARSHIYA,2012,114,166,134.4696,11.95733344
ARSHIYA,2014,12,22,16.4857,2.760656532
ARSSINFRA,2010,706,1376,1120.8396,174.5924979
ARSSINFRA,2011,105,838,430.9838,160.6670298
ARSSINFRA,2012,35,144,77.9159,36.00820818
ARSSINFRA,2014,18,60,33.5545,11.03681979
ARVIND,2010,30,71,41.6096,9.872037263
ARVIND,2011,52,110,77.6437,14.43492276
ARVIND,2012,60,103,80.5547,8.936802892
ARVIND,2014,137,336,220.2042,57.78268403
ARVINDREM,2012,21,38,28.6763,4.689212827
ARVINDREM,2014,23,64,42.4014,8.027294862
ASAHIINDIA,2010,58,121,79.9283,16.96782861
ASAHIINDIA,2011,50,105,77.9231,13.84581646
ASAHIINDIA,2012,52,73,62.3239,4.595407437
ASAHIINDIA,2014,40,130,79.9014,27.67983704
ASAHISONG,2011,73,106,87.9753,8.444408346
ASAHISONG,2012,72,101,86.0976,6.305778269
ASAHISONG,2014,68,185,112.493,34.86326338
ASAL,2010,62,147,91.0319,21.66070717
ASAL,2011,39,96,64.498,14.74118813
ASAL,2012,42,61,48.3265,3.154444581
ASAL,2014,26,74,47.0316,12.23579962
ASHAPURMIN,2010,37,87,60.3267,11.18607757
ASHAPURMIN,2011,13,44,23.0648,7.721090408
ASHAPURMIN,2012,9,32,15.7404,5.449056362
ASHAPURMIN,2014,48,88,66.162,9.212390098
ASHCO,2010,1,2,1.0444,0.206080411
ASHCONIUL,2010,5,10,6.9487,1.501259607
ASHCONIUL,2011,2,5,2.8136,0.7913639
ASHCONIUL,2012,1,2,1.6863,0.464006257
ASHIANA,2011,129,176,146.328,8.220730868
ASHIANA,2012,135,240,170,15.57637576
ASHIANA,2014,70,211,127.2465,40.70560515
ASHIMASYN,2010,4,8,5.65,0.759934208
ASHIMASYN,2011,4,8,5.1382,1.01339283
ASHIMASYN,2012,3,7,4.587,0.836038458
ASHIMASYN,2014,3,11,6.7241,2.810856029
ASHOKA,2010,287,331,303.0182,10.63184053
ASHOKA,2011,182,306,257.5789,26.16331537
ASHOKA,2012,183,271,212.2591,18.03857955
ASHOKA,2014,57,155,111.6197,32.99012494
ASHOKLEY,2010,46,81,64.6614,9.173453633
